good , 3 , parallel , 24 , 24 , 1 , 1.05 , 343.6k
good , 4 , mapreduce , 24 , 24 , 1 , 1.13 , 347.6k
good , 5 , pmapsum1 , 24 , 24 , 1 , 0.34 , 279.7k
good , 6 , pmapsum2 , 24 , 24 , 1 , 0.35 , 280.3k
medium , 1 , simple loop , 1 , 1 , 1 , 1.04 , 32.1k
medium , 3 , parallel , 1 , 1 , 1 , 1.09 , 22.2k
medium , 4 , mapreduce , 1 , 1 , 1 , 1.09 , 21.9k
medium , 5 , pmapsum1 , 1 , 1 , 1 , 1.49 , 0.6m
medium , 6 , pmapsum2 , 1 , 1 , 1 , 1.5 , 0.6m
medium , 1 , simple loop , 2 , 2 , 1 , 1.07 , 32.1k
medium , 3 , parallel , 2 , 2 , 1 , 1.09 , 19.4k
medium , 4 , mapreduce , 2 , 2 , 1 , 1.1 , 23.3k
medium , 5 , pmapsum1 , 2 , 2 , 1 , 87.73 , 15.2m
medium , 6 , pmapsum2 , 2 , 2 , 1 , 1.81 , 0.8m
medium , 1 , simple loop , 1 , 1 , 1 , 1.08 , 32.1k
medium , 3 , parallel , 1 , 1 , 1 , 1.09 , 22.2k
medium , 4 , mapreduce , 1 , 1 , 1 , 1.08 , 21.9k
medium , 5 , pmapsum1 , 1 , 1 , 1 , 1.5 , 0.6m
medium , 6 , pmapsum2 , 1 , 1 , 1 , 1.5 , 0.6m
medium , 1 , simple loop , 3 , 3 , 1 , 1.08 , 32.1k
medium , 3 , parallel , 3 , 3 , 1 , 0.71 , 33.5k
medium , 4 , mapreduce , 3 , 3 , 1 , 0.71 , 41.8k
medium , 5 , pmapsum1 , 3 , 3 , 1 , 40.24 , 15.2m
medium , 6 , pmapsum2 , 3 , 3 , 1 , 1.28 , 0.8m
medium , 2 , threads_sum , 2 , 1 , 2 , 0.65 , 32.1k
medium , 1 , simple loop , 4 , 4 , 1 , 1.08 , 32.1k
medium , 3 , parallel , 4 , 4 , 1 , 0.59 , 47.8k
medium , 4 , mapreduce , 4 , 4 , 1 , 0.58 , 59.8k
medium , 5 , pmapsum1 , 4 , 4 , 1 , 34.65 , 15.2m
medium , 6 , pmapsum2 , 4 , 4 , 1 , 1.14 , 0.8m
medium , 2 , threads_sum , 3 , 1 , 3 , 0.5 , 32.1k
